#######################
##
## License goes here
##
#######################
a	ɑ
alzeng	ɑltseŋ
am	ɑm
amaache	ɑmaːχə
amaachen	ɑmaːχən
amaachglas	ɑmaːχglaːs
amant	ɑmɑ̃ː
amante	ɑmɑ̃ːə
amanten	ɑmɑ̃ːən
amass	ɑmɑs
amateur	ɑmɑtœːʀ
ambassad	ɑmbɑsaːt
ambassadë	ɑ̃ːmbɑsaːdə
ambassade	ɑ̃ːmbɑsaːt
ambassaden	ɑ̃ːmbɑsaːdən
ambassadeur	ɑ̃ːmbɑsɑdœːʀ
ambigu	ɑ̃ːmbigyː
ambigue	ɑ̃ːmbigyːə
ambiguem	ɑ̃ːmbigyːəm
ambiguen	ɑ̃ːmbigyːən
ambiguitéit	ɑ̃ːmbigyːitɜɪt
ambiguitéite	ɑ̃ːmbigyːitɜɪt
ambiguitéiten	ɑ̃ːmbigyitɜɪtən
ambitiéis	ɑ̃ːmbisjɜɪs
ambitiéise	ɑ̃ːmbisjɜɪzə
amboss	ɑmbos
ambulanz	ɑmbulɑnts
améchs	ɑməɕs
amelioratioun	ɑmeljoʀatsjəʊn
amen	aːmən
amenagéiere	ɑmenaʒɜɪəʀə
amenagéieren	ɑmenaʒɜɪəʀən
amendéier	ɑmɑ̃ːndɜɪɐ
amendéieren	ɑmɑ̃ːndɜɪəʀən
amendement	ɑmɑ̃ːndəmɑ̃ː
ament	ɑmænt
amerika	ɑmeːʀikaː
amësche	ɑməʃə
amëschen	ɑməʃən
ameséiere	ɑməzɜɪəʀə
ameséieren	ɑməzɜɪəʀən
amgaang	ɑmgaːŋ
amicalle	ɑmikɑlə
amicallen	ɑmikɑlən
aminosaier	ɑmiːnoːzɑɪɐ
amnesie	ɑmnesiː
amnestie	ɑmnæstiː
amnestië	ɑmnæstiːə
amok	aːmok
amokleeferinne	ɑmokleːfəʀinə
amortiséiere	ɑmɔʀtizɜɪəʀə
amortiséieren	ɑmɔʀtizɜɪəʀən
amortisseur	ɑmɔʀtisœːʀ
ampère	ɑ̃ːpɛːʀ
amplaz	ɑmplaːts
ampull	ɑmpul
amusant	ɑmuzɑnt
amusantem	ɑmuzɑntəm
amüsantem	ɑmysɑntəm
amüsantst	ɑmysɑntst
amusantste	ɑmuzɑntstə
amusement	ɑmuzəmænt
an	aːn
an	ɑn
anachronismen	ɑnɑkʀonismən
anachronismus	ɑnɑkʀonismus
analoger	ɑnaloːʁɐ
analogie	ɑnaloʒiː
analogië	ɑnaloʒiːə
analogien	ɑnaloʒiːən
analoogt	ɑnaloːχt
analphabet	ɑnalfabeːt
analphabete	ɑnalfabeːtə
analphabeten	ɑnalfabeːtən
analphabetin	ɑnalfabeːtin
analphabetinne	ɑnalfabeːtinə
analyse	ɑnaliːzə
analytikerinne	ɑnalitikəʀinə
ananas	ɑnanaːs
anarchie	ɑnaʀɕiə
anarchistinne	ɑnaʀɕistinə
anäscheren	ɑnæʃəʀən
anästhesie	ɑnæsteziː
anästhesië	ɑnæsteziːə
anästhesistinne	ɑnæstesistinə
anatomie	ɑnatomiː
anchecken	ɑntʃækən
anchoisen	ɑ̃ːʃwɑən
anciennetéit	ɑ̃ːsjænətɜɪt
andorra	ɑndoʀaː
anekdot	ɑnækdoːt
anemie	ɑnemiː
aneneen	ɑnəneːn
aner	aːnɐ
anere	aːnəʀə
aneren	aːnəʀən
anescht	aːnəʃt
angab	ɑngaːp
angabe	ɑngaːbə
angenehm	ɑngəneːm
angine	ɑ̃ːʒin
anginne	ɑ̃ːʒinə
angola	ɑngoːlaː
angscht	ɑŋʃt
ängschtlech	æŋʃtləɕ
animateur	ɑnimatœːʀ
animéiere	ɑnimɜɪəʀə
animéieren	ɑnimɜɪəʀən
animositéit	ɑnimozitɜɪt
anker	ɑŋkɐ
annäipen	ɑnnæːɪpən
ännere	ænəʀə
änneren	ænəʀən
ännerung	ænəʀuŋ
anniichter	ɑniːɕtɐ
anniversaire	ɑnivæʀsɛːʀ
anniversairë	ɑnivæʀsɛːʀə
anniversairen	ɑnivæʀsɛːʀən
anno	ɑnoː
annonce	ɑnɑ̃ːs
annoncéiere	ɑnɑ̃ːsɜɪəʀə
annoncéieren	ɑnɑ̃ːsɜɪəʀən
annuléiere	ɑnylɜɪəʀə
annuléieren	ɑnylɜɪəʀən
anomalie	ɑnomaliː
anomalië	ɑnomaliːə
anonym	ɑnonim
anonymmen	ɑnonimən
anorak	ɑnoʀɑk
anormal	ɑnɔʀmaːl
anotems	ɑnoːtəms
anotemt	ɑnoːtəmt
antenn	ɑntæn
antenne	ɑ̃ːntæn
antennen	ɑ̃ːntænən
antëscht	ɑntəʃt
antibiotique	ɑntibjotik
antibiotiquë	ɑntibjotikə
antibiotiquen	ɑntibjotikən
anticke	ɑntikə
antickem	ɑntikəm
antigel	ɑ̃ːtiʒæl
antiguaner	ɑntigwaːnɐ
antik	ɑntik
antikst	ɑntikst
antippe	ɑntipə
antippen	ɑntipən
antiquaire	ɑ̃ːtikɛːʀ
antiquitéit	ɑ̃ːntikitɜɪt
antisemitesch	ɑntizemitəʃ
antisemitinne	ɑntizemitinə
antivol	ɑ̃ːntivol
antoniushaff	ɑntoːnjushɑf
antriichtere	ɑntʀiːɕtəʀə
antriichteren	ɑntʀiːɕtəʀən
äntwere	æntvəʀə
äntweren	æntvəʀən
äntwert	æntvɐt
anzeblende	ɑntsəblændə
anzeblenden	ɑntsəblændən
anzeblenne	ɑntsəblænə
anzeblennen	ɑntsəblænən
anzebrénge	ɑntsəbʀeŋə
anzebréngen	ɑntsəbʀeŋən
anzebrenne	ɑntsəbʀænə
anzesange	ɑntsəzɑŋə
anzwousch	ɑntswəʊʃ
anzwuersch	ɑntswuːɐʃ
apaart	ɑpaːʀt
apake	ɑpaːkə
apaken	ɑpaːkən
apdikt	ɑpdikt
apdikter	ɑpdiktɐ
apel	aːpəl
apendelen	ɑpəndələn
aperhoer	aːpɐhoːɐ
aperitif	ɑpeʀitif
apostel	ɑpostəl
apostele	ɑpostələ
apostolesch	ɑpostoːləʃ
apostroph	ɑpostʀof
apparat	ɑpɑʀaːt
appartement	ɑpɑʀtəmænt
äppelbam	æpəlbaːm
äppeljus	æpəlʒyː
appellsprozess	ɑpælspʀotsæs
appetit	ɑpətit
appetitlech	ɑpətitləɕ
applaus	ɑplɑʊs
apple	æpəl
appreciatioun	ɑpʀesjatsjəʊn
approche	ɑpʀoʃ
approchë	ɑpʀoʃə
approchen	ɑpʀoʃən
approuvéiere	ɑpʀuvɜɪəʀə
approuvéieren	ɑpʀuvɜɪəʀən
approximatiivt	ɑpʀoksimɑtiːft
approximativ	ɑpʀoksimɑtiːf
approximative	ɑpʀoksimaːtiːvə
appui	ɑpɥiː
apräägs	ɑpʀɛːɕs
aprägen	ɑpʀɛːʑən
aprikos	ɑpʀikoːs
aquakulture	ɑkwaːkultuːʀ
aquaplaning	ɑkwaːplaːniŋ
aquarium	ɑkwaːʀium
äquator	eːkwaːtoːʀ
är	ɛːɐ
araberin	ɑʀabəʀin
arabesch	ɑʀaːbəʃ
arabist	ɑʀabist
arabophonen	ɑʀabofoːnən
araume	ɑʀɑʊmə
araumen	ɑʀɑʊmən
arbitter	ɑʀbitɐ
arbitterinne	ɑʀbitəʀinə
arcadë	ɑʀkaːdə
arcade	ɑʀkaːt
arcaden	ɑʀkaːdən
archaesch	ɑʀkaːəʃ
archaeschen	ɑʀkaːəʃən
archeolog	ɑʀkeoloːk
archeologe	ɑʀkeoloːgə
archeologen	ɑʀkeoloːgən
archeologinne	ɑʀkeoloːginə
architekt	ɑʀʃitækt
architektinne	ɑʀɕitæktinə
architektur	ɑʀɕitæktuːɐ
architekture	ɑʀɕitæktuːʀə
architekturen	ɑʀɕitæktuːʀən
archiv	ɑʀɕiːf
archive	ɑʀɕivə
archivistinne	ɑʀɕivistinə
äre	ɛːʀə
arem	aːʀəm
ären	ɛːʀən
arenne	ɑʀænə
arennen	ɑʀænən
ärer	ɛːʀɐ
argentinesch	ɑʀʑæntiːnəʃ
ariichte	ɑʀiːɕtə
ariichten	ɑʀiːɕtən
aristokratie	ɑʀistokʀatiː
aristokratinne	ɑʀistokʀaːtinə
arméi	ɑʀmɜɪ
armenesch	ɑʀmeːnəʃ
aroma	ɑʀoːmaː
aromatesch	ɑʀomaːtəʃ
arrêt	ɑʀɛː
arrête	ɑʀɛːə
arrêté	ɑʀɛːteː
arrêtéë	ɑʀɛːteːə
arrêtéen	ɑʀɛːteːən
arrêten	ɑʀɛːən
arrivée	ɑʀiveː
arrogant	ɑʀogɑnt
arrogante	ɑʀogɑntə
arterie	ɑʀteːʀjə
arterien	ɑʀteːʀjən
arthrite	ɑʀtʀit
artichaut	ɑʀtiʃoː
artikel	ɑʀtikəl
artist	ɑʀtist
artisteschste	ɑʀtistəʃstə
artisteschstem	ɑʀtistəʃstəm
artisteschsten	ɑʀtistəʃstən
artisteschster	ɑʀtistəʃstɐ
artistinne	ɑʀtistinə
asammele	ɑzɑmələ
asammelen	ɑzɑmələn
asazfäegster	ɑzaːtsfɛːəɕstɐ
asazfäegt	ɑzaːtsfɛːəɕt
asazfäheg	ɑzaːtsfɛːəɕ
äsche	æʃə
äschebecher	æʃəbæɕɐ
äschen	æʃən
äschenteller	æʃəntælɐ
äschermëttwoch	æʃɐmətwoχ
aschloe	ɑʃloːə
aschloen	ɑʃloːən
aschlofe	ɑʃloːfə
aschlofen	ɑʃloːfən
aserbaidjan	ɑzɛːɐbɑɪdʒaːn
aspaans	ɑʃpaːns
aspaant	ɑʃpaːnt
aspäre	ɑʃpɛːʀə
aspären	ɑʃpɛːʀən
aspekt	ɑspækt
aspro	ɑspʀoː
assimiléieren	ɑsimilɜɪəʀən
assistant	ɑsistɑ̃ː
assistentinne	ɑsistæntinə
associatioun	ɑsosjatsjəʊn
associé	ɑsosieː
associée	ɑsosjeː
associéë	ɑsosjeːə
associéeë	ɑsosjeːə
associéeën	ɑsosjeːən
assurance	ɑsyʀɑ̃ːs
assuréiere	ɑsyʀɜɪəʀə
assuréieren	ɑsyʀɜɪəʀən
astéings	ɑʃtɜɪŋs
astéingt	ɑʃtɜɪŋt
astelle	ɑʃtælə
astellen	ɑʃtælən
ästhet	æsteːt
asthma	ɑstmaː
asti	ɑstiː
astig	ɑʃtiːɕ
astigsdrog	ɑstiːɕsdʀoːk
astouch	ɑʃtəʊχ
astoungen	ɑʃtəʊŋən
astoungs	ɑʃtəʊŋs
astrolog	ɑstʀoloːχ
astrologe	ɑstʀoloːʁə
astrologen	ɑstʀoloːʁən
astrologinne	ɑstʀoloːginə
astronaut	ɑstʀonɑʊt
astronautinne	ɑstʀonɑʊtinə
astronom	ɑstʀonoːm
asturien	ɑstuːʀiən
asylantinne	ɑsilɑntinə
asymmetresch	ɑsimeːtʀəʃ
asymmetrie	ɑsimetʀiː
atelier	ɑtəljeː
ateliere	ɑtəljeːə
atert	aːtɐt
atheismus	ɑteismus
atheistinne	ɑteːistinə
athen	ɑteːn
äthiopien	ætjopiːən
athlet	ɑtleːt
athletinne	ɑtleːtinə
atlas	ɑtlɑs
atom	ɑtoːm
atomreakter	ɑtoːmʀeɑktɐ
atoute	ɑtuːə
atouten	ɑtuːən
attache	ɑtɑʃ
attentat	ɑtəntaːt
attentater	ɑtəntaːtɐ
attentäter	ɑtəntɛːtɐ
attentäterinne	ɑtɑ̃ːtɛːtəʀinə
atter	ɑtɐ
attest	ɑtæst
attestatioun	ɑtæstatsjəʊn
attitude	ɑtityːt
attitudë	ɑtitydə
attraktioun	ɑtʀɑksjəʊn
aubergine	oːbɛʀʒin
auberginne	oːbɛʀʒinə
auchan	oːʃɑ̃ː
auder	ɑʊdɐ
audi	ɑʊdiː
audienz	ɑʊdjænts
audienze	ɑʊdjæntsə
audiovisuell	ɑʊdjoːviːzwæl
audiovisuell	ɑʊdjoːvizwæl
auditoire	oːditwaːʀ
auditoirë	oːditwaːʀə
auer	ɑʊɐ
auermécher	ɑʊɐməɕɐ
aufgab	ɑʊfgaːp
aufsatz	ɑʊfsɑts
august	ɑʊgust
aumônier	oːmonjeː
aura	ɑʊʀaː
aus	æːʊs
ausbau	æːʊsbæːʊ
ausbaue	æːʊsbɑʊə
ausbauen	æːʊsbɑʊən
ausbehale	æːʊsbəhaːlə
ausbehalen	æːʊsbəhaːlən
ausdeele	æːʊsdeːlə
ausdeelen	æːʊsdeːlən
ausdoe	æːʊsdoːə
ausdoen	æːʊsdoːən
ausdrécke	æːʊsdʀekə
ausdrécken	æːʊsdʀekən
ausdrock	æːʊsdʀok
ausdrocksvoll	æːʊsdʀoksfol
auserhéngert	æːʊzɐheŋɐt
ausernee	æːʊzɐneː
auserneen	æːʊzɐneːn
ausféiere	æːʊsfɜɪəʀə
ausféieren	æːʊsfɜɪəʀən
ausfëlle	æːʊsfələ
ausfëllen	æːʊsfələn
ausflug	æːʊsfluχ
ausgab	æːʊsgaːp
ausgebeut	æːʊsgəboɪt
ausgebeute	æːʊsgəboɪtə
ausgerechent	æːʊsgəʀæɕənt
ausgesinn	æːʊsgəzin
ausginn	æːʊsgin
ausgoe	æːʊsgoːə
ausgoen	æːʊsgoːən
aushéngere	æːʊsheŋəʀə
aushéngeren	æːʊsheŋəʀən
aushoul	æːʊshəʊl
aushoulen	æːʊshəʊlən
aushouls	æːʊshəʊls
aushoult	æːʊshəʊlt
aushoung	æːʊshəʊŋ
aushoungen	æːʊshəʊŋən
auskräischs	æːʊskʀæːɪʃs
auslafe	æːʊslaːfə
auslafen	æːʊslaːfən
ausland	æːʊslɑnt
auslänner	æːʊslænɐ
auslännerinne	æːʊslænəʀinə
auslännesch	æːʊslænəʃ
auslous	æːʊsləʊs
auslouse	æːʊsləʊs
auslousen	æːʊsləʊzən
ausloust	æːʊsləʊst
ausluede	æːʊsluədə
auslueden	æːʊsluədən
ausmaache	æːʊsmaːχə
ausmaachen	æːʊsmaːχən
ausnahm	æːʊsnaːm
ausnotze	æːʊsnotsə
ausnotzen	æːʊsnotsən
auspäife	æːʊspæːɪfə
auspäifen	æːʊspæːɪfən
auspéile	æːʊspɜɪlə
auspéilen	æːʊspɜɪlən
auspuff	æːʊspuf
ausraibere	æːʊsʀɑɪbəʀə
ausraiberen	æːʊsʀɑɪbəʀən
ausraume	æːʊsʀɑʊmə
ausraumen	æːʊsʀɑʊmən
ausrechne	æːʊsʀæɕnə
ausrechnen	æːʊsʀæɕnən
ausrësele	æːʊsʀəzələ
ausrëselen	æːʊsʀəzələn
ausrësserinne	æːʊsʀəsəʀinə
ausriede	æːʊsʀiədə
ausrieden	æːʊsʀiədən
ausrifferinne	æːʊsʀifəʀinə
ausroue	æːʊsʀəʊə
ausrouen	æːʊsʀəʊən
ausrutsche	æːʊsʀutʃə
ausrutschen	æːʊsʀutʃən
ausschëdde	æːʊsʃədə
ausschëdden	æːʊsʃədən
ausschlaggebend	æːʊsʃlaːχgeːbənt
ausschlaggebende	æːʊsʃlaːχgeːbəndə
ausschlaggebendem	æːʊsʃlaːχgeːbəndəm
ausschlaggebenden	æːʊsʃlaːχgeːbəndən
ausschlofe	æːʊsʃloːfe
ausschlofen	æːʊsʃloːfen
ausschnëtt	æːʊsʃnət
ausseministerinne	æːʊsəministəʀinə
ausser	æːʊsɐ
aussergewéinlech	æːʊsɐgəvɜɪnləɕ
äusserlech	oɪsɐləɕ
ausseruerdentlech	æːʊsɐuːɐdəntləɕ
ausseruerdentleche	æːʊsɐuːɐdəntləɕə
ausseruerdentlechem	æːʊsɐuːɐdəntləɕəm
ausseruerdentlechen	æːʊsɐuːɐdəntləɕən
ausseruerdentlecher	æːʊsɐuːɐdəntləɕɐ
ausseruerdentlechst	æːʊsɐuːɐdəntləɕst
äusserung	oɪsəʀuŋ
aussesäiterinne	æːʊszəzæːɪtəʀinə
ausso	æːʊszoː
ausspane	æːʊsʃpaːnə
ausspanen	æːʊsʃpaːnən
aussprieche	æːʊsʃpʀiəɕə
ausspriechen	æːʊsʃpʀiəɕən
aussprooch	æːʊsʃpʀoːχ
ausstelle	æːʊsʃtælə
ausstellen	æːʊsʃtælən
ausstellerinne	æːʊsʃtæləʀinə
ausstellung	æːʊsʃtæluŋ
ausstierwe	æːʊsʃtiəvə
ausstierwen	æːʊsʃtiəvən
australier	æːʊstʀɑljɐ
australierin	æːʊstʀɑliəʀin
auswäiche	æːʊsvæːɪɕə
auswäichen	æːʊsvæːɪɕən
auswanderinne	æːʊsvɑndəʀinə
auswenneg	æːʊsvænəɕ
auswësche	æːʊsvəʃə
auswëschen	æːʊsvəʃən
auswiel	æːʊsviəl
auszedoe	æːʊstsədoːə
auszepake	æːʊstsəpaːkə
autant	oːtɑ̃ː
auteur	oːtœːʀ
